age,engine,mileage,price,brand_Audi,brand_Citroën,brand_Fiat,brand_Honda,brand_Hyundai,brand_Jaguar,brand_Kia,brand_Mazda,brand_Mercedes,brand_Mitsubishi,brand_Nissan,brand_Opel,brand_Peugeot,brand_Porsche,brand_Renault,brand_Smart,brand_Tesla,brand_Toyota,brand_VW,brand_Volvo
1,107.0,5.0,23.48,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,80.0,8.2,14.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,110.0,5.0,25.49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,150.0,7.0,31.65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,150.0,8.0,31.65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,150.0,6.0,31.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,150.0,8.0,31.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,100.0,7.0,26.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,150.0,7.0,30.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,100.0,7.0,26.45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,79.0,10.5,13.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,67.0,9.685,9.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,67.0,19.41,9.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,80.0,27.602,11.988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,50.0,5.0,14.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,50.0,11.6,12.994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,42.0,25.0,10.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,67.0,16.17,9.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,67.0,12.0,11.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,110.0,0.0,31.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,107.0,5.0,23.48,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,79.0,17.36,10.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,52.0,29.17,11.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,80.0,7.294,14.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,80.0,11.305,11.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,79.0,11.741,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,80.0,20.32,11.299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,68.0,7.1,11.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,79.0,1.8,14.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,80.0,21.831,9.89,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,79.0,19.2,12.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,107.0,3.0,21.98,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,67.0,11.881,9.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,67.0,26.5,10.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,67.0,30.5,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,110.0,3.25,27.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,100.0,7.5,14.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,100.0,1.5,14.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,79.0,2.0,14.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,52.0,12.5,11.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,52.0,7.5,12.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,67.0,7.136,12.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,80.0,12.0,12.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,80.0,5.5,12.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,79.0,10.0,11.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,79.0,4.5,12.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,80.0,5.5,12.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
